dataset,tau_ps,escalation_rate,n_escalated,precision_vs_cfvr,df_epsilon
synthetic,0.05,0.9312,2328,0.31486254295532645,1.3860259407720168
synthetic,0.1,0.9016,2254,0.3251996450754215,1.3860259407720168
synthetic,0.15,0.9016,2254,0.3251996450754215,1.3860259407720168
synthetic,0.2,0.9016,2254,0.3251996450754215,1.3860259407720168
synthetic,0.25,0.9016,2254,0.3251996450754215,1.3860259407720168
synthetic,0.3,0.9016,2254,0.3251996450754215,1.3860259407720168
adult,0.05,0.8908,2227,0.33812303547373146,4.408961233107333
adult,0.1,0.8588,2147,0.35072193758733117,4.408961233107333
adult,0.15,0.8588,2147,0.35072193758733117,4.408961233107333
adult,0.2,0.8588,2147,0.35072193758733117,4.408961233107333
adult,0.25,0.8588,2147,0.35072193758733117,4.408961233107333
adult,0.3,0.8588,2147,0.35072193758733117,4.408961233107333
