dataset,method,n_folds,ROC-AUC_mean,ROC-AUC_ci_low,ROC-AUC_ci_high,SPD_mean,SPD_ci_low,SPD_ci_high,DIR_mean,DIR_ci_low,DIR_ci_high,EOD_mean,EOD_ci_low,EOD_ci_high,CF_prob_rate_mean,CF_prob_rate_ci_low,CF_prob_rate_ci_high,CF_class_rate_mean,CF_class_rate_ci_low,CF_class_rate_ci_high
synthetic,CF-augmentation,15,0.8630975176168276,0.8606141891305994,0.8655693170478137,0.032556372055865895,0.02433097419764795,0.04136727308559718,0.9346163577680489,0.9173575192447241,0.9508076142052921,0.02885222783047402,0.02046428928934801,0.03757449722619273,0.0013777777777777777,0.0008,0.002,0.022244444444444445,0.02057777777777778,0.023733888888888888
synthetic,Unconstrained,15,0.8632455915997908,0.860786957163791,0.8656157824303443,0.08272805649840312,0.07084572829720713,0.09391140666392789,0.8418687741401456,0.8216176321329257,0.8633296355617431,0.06882743253360839,0.05921724242613593,0.07782909331719286,0.1434888888888889,0.1348222222222222,0.1527577777777778,0.07264444444444444,0.07044444444444445,0.07466722222222222
