dataset,model,n_folds,Accuracy_mean,Accuracy_ci_low,Accuracy_ci_high,F1_mean,F1_ci_low,F1_ci_high,ROC-AUC_mean,ROC-AUC_ci_low,ROC-AUC_ci_high,PR-AUC_mean,PR-AUC_ci_low,PR-AUC_ci_high,SPD_mean,SPD_ci_low,SPD_ci_high,DIR_mean,DIR_ci_low,DIR_ci_high,EOD_mean,EOD_ci_low,EOD_ci_high,A_flip_prob_rate_mean,A_flip_prob_rate_ci_low,A_flip_prob_rate_ci_high,A_flip_class_rate_mean,A_flip_class_rate_ci_low,A_flip_class_rate_ci_high
acs_employment_ca_2018,LogisticRegression,15,0.7704444444444445,0.7678219444444444,0.7730897222222222,0.7670361888674999,0.7646984746989621,0.7695091258082309,0.8444790334177049,0.8419911167193627,0.846931070593609,0.7694585159419081,0.7655240535971453,0.7732156042402079,0.013542270448300512,0.007943677939687702,0.019749467898795805,0.9751326515314486,0.9639059147489653,0.9852601195837083,0.020517770244367788,0.014788754354165304,0.02622277968848318,0.0,0.0,0.0,0.0763777777777778,0.07123249999999999,0.08135583333333335
acs_employment_ca_2018,XGBoost,15,0.8166444444444444,0.8139097222222221,0.8191891666666667,0.8123123104525567,0.8098548108571164,0.8146198616800275,0.8967296670307128,0.8949250203222804,0.8984753910934755,0.850633083265096,0.8475753527368297,0.8536109471214866,0.017424943695018163,0.013180082128748844,0.022438004539610618,0.9674569579663441,0.958364838589184,0.9751962647275676,0.025600641758565825,0.01921485210570176,0.0331032172741056,0.0,0.0,0.0,0.0003333333333333333,0.00015555555555555554,0.0005444444444444444
acs_employment_ca_2018,XGBoost+RW,15,0.8167555555555555,0.8142219444444445,0.8192555555555555,0.8124328528614311,0.8102160636555138,0.8146488723131553,0.8967338926924021,0.8949425729494122,0.8984774889530412,0.8506476364298133,0.8476494499129869,0.8534822475557186,0.018383842856450103,0.013534547200805724,0.024057140336222915,0.9657522849352324,0.9554646050143537,0.9746802036824029,0.02642171718388116,0.020745464135576933,0.033552267586711565,0.0,0.0,0.0,0.0002555555555555556,8.888888888888888e-05,0.0004555555555555555
adult,LogisticRegression,15,0.8484516854910724,0.8465287422088915,0.850420588830032,0.6659348868015814,0.6617814880838073,0.6703115270610929,0.904972974716028,0.9032672892218169,0.9066922181989244,0.7709737058081123,0.7670012829161394,0.7751061304139062,0.18432292317702534,0.17981329227902013,0.18917676497174146,0.3034021609933193,0.2903234724561609,0.31566794812991966,0.1110317928701372,0.0975797772750657,0.12349945722728599,0.3932981847700893,0.3867969916838906,0.399116015713678,0.09230148382247183,0.08930705752717552,0.09507354169661907
adult,XGBoost,15,0.8632495907785692,0.8613927601239892,0.8648505087806923,0.6897141950824249,0.6860247508402951,0.6936196861009812,0.9211355312142725,0.9195448785875681,0.922670990196116,0.8207855772026372,0.8176842847501745,0.8239665217446571,0.17768454730195093,0.1745181078606906,0.18119132139221708,0.2877172217547622,0.2771482600550118,0.2969933368243884,0.10692790074354046,0.09187971818517386,0.12250769838031907,0.006940293241284342,0.0051500430032405025,0.008752953381365646,0.017494608198966984,0.015582047504566323,0.019385248946884093
adult,XGBoost+RW,15,0.8578896876932252,0.8557216669759,0.8597953334101288,0.6702857708595139,0.6655973048013297,0.6750440690922648,0.9158656511338875,0.9139435698860907,0.9177068639412043,0.8073373425663255,0.8036448715719554,0.8109049510522444,0.08237251104815983,0.07806768915220937,0.08669342535755738,0.6056686394349533,0.58526560853446,0.6244882316398577,0.16866115592981135,0.15149476782559987,0.18449051549312648,0.000497301681306894,0.00025418136624926006,0.0007514613389253301,0.013283778666201205,0.010178014299264451,0.016853625517214994
synthetic,LogisticRegression,15,0.7934,0.7908829166666667,0.7960166666666666,0.7854199081842267,0.782392528354267,0.7885652015937806,0.8772312619559756,0.8747921415573534,0.8796311708951897,0.8699941212968028,0.8679851347655774,0.871948254774403,0.06693875341257886,0.05542476483391589,0.07803867424453372,0.8708079877289621,0.850818075385585,0.8916434262540216,0.044589575527727895,0.0345806614580814,0.0541446810346936,0.0,0.0,0.0,0.004366666666666667,0.0028329166666666667,0.00615
synthetic,XGBoost,15,0.7909499999999999,0.7883662499999999,0.7936679166666666,0.7826947395298797,0.779854872770784,0.7857967611069283,0.8741070774934439,0.8717321569471542,0.8763299564713637,0.8660182674799644,0.8640774640874711,0.8677680633584197,0.05951253803007405,0.04790166884814747,0.0707998597700076,0.8843557429256055,0.863424078990252,0.905688910285947,0.0396974100030644,0.028868935440374586,0.05035216483264602,0.0,0.0,0.0,0.0015833333333333333,0.0010666666666666667,0.0021004166666666645
synthetic,XGBoost+RW,15,0.7912166666666669,0.7881316666666667,0.7946500000000001,0.7830314569779685,0.7795394294194394,0.786898182278809,0.873969260665749,0.8716735581374829,0.8761877659187591,0.8658949696524042,0.8639296175879525,0.8677638074364357,0.03860842690366284,0.028974217257048095,0.04838097891969708,0.9235864723022452,0.9045344925462109,0.9423015892038271,0.02663873578402484,0.02139210588900442,0.032259471323663,0.0002,5e-05,0.0004,0.014116666666666666,0.012116249999999999,0.016
