Model,Accuracy,F1,ROC-AUC,DIR,SPD,EOD,CFVR-Prob,CFVR-Class
Logistic Regression,0.5930 ± 0.0078,0.0117 ± 0.0147,0.4972 ± 0.0162,0.0000 ± 0.0000,0.0191 ± 0.0260,0.0252 ± 0.0334,0.0000 ± 0.0000,0.0145 ± 0.0193
Random Forest,0.5370 ± 0.0203,0.3404 ± 0.0342,0.5031 ± 0.0190,0.7952 ± 0.1431,0.0745 ± 0.0583,0.1337 ± 0.0895,0.6645 ± 0.0211,0.3740 ± 0.0313
XGBoost (Base),0.5480 ± 0.0094,0.3505 ± 0.0281,0.5151 ± 0.0172,0.8154 ± 0.1180,0.0626 ± 0.0424,0.1351 ± 0.0721,0.3120 ± 0.0964,0.1550 ± 0.0454
XGBoost (Tuned),0.5485 ± 0.0219,0.3684 ± 0.0264,0.5208 ± 0.0258,0.8281 ± 0.1128,0.0605 ± 0.0423,0.1053 ± 0.0379,0.4815 ± 0.0887,0.2170 ± 0.0337
XGBoost (Tuned + RW),0.5405 ± 0.0191,0.3544 ± 0.0340,0.5101 ± 0.0175,0.8081 ± 0.0504,0.0649 ± 0.0142,0.1184 ± 0.0227,0.4470 ± 0.0877,0.1925 ± 0.0365
